ID,PAGE_NUMBER,Inferred_Latitude,Inferred_Longitude,Actual_Latitude,Actual_Longitude,Location,Townships_Ranges_Sections,Watersource_Name,Actual_County,Inferred_County,Dates_of_Recording,Temporal_Resolution,Units_Of_Measurement,Water_Type,KeyTerms,Watersources,Actual_Latitude_Scotia,Actual_Longitude_Scotia,Inferred_Latitude_Scotia,Inferred_Longitude_Scotia,Dates_Of_Recording
53419,35,,,38.548889,-122.719999,"8N/8W -11N, M 38°32'56""N,122°43'12""",['8N/8W -11N'],West Springs,,,10/10/1966-10/10/1966,Unknown,"{'Temperature': '*F', 'Discharge': 'gpm', 'Altitude': 'feet'}",Springs,"['Pavel', 'Mark', 'Rene']",,,,,,
53419,35,,,38.563583,-123.009167,"8N/10W -6L, M 38°33'51""N,123°00'33""",['8N/10W -6L'],Lake Division Spring,,,10/11/1966-11/10/1966,Unknown,"{'Temperature': '*F', 'Discharge': 'gpm', 'Altitude': 'feet'}",Springs,"['Redwood', 'California', 'Beaches']",,,,,,
56461,110,,,35.639167,-118.483889,"Lat 35°38'21"" long 118°29'02"", in SW4NW'4 sec. 30, T.26 S., R.33 E.","[""T.26 S., R.33 E., SW4NW'4 sec. 30""]",KERN RIVER BELOW ISABELLA DAM,Kern County,,October 1976-September 1977,Daily,cubic feet per second (ft3/s),Stream Discharge,"['KERN RIVER', 'ISABELLA DAM', 'WATER-DISCHARGE RECORDS', 'DISCHARGE']",,,,,,
70038675,393,,,37.623333,-121.757778,"Valle de San Jose Grant, Alameda County, on right bank 900 ft downstream from highway bridge, 1.1 miles upstream from Dry Creek, 1.3 miles downstream from Del Valle Dam, 4.1 miles south of Livermore, and 6.9 miles southeast of Pleasanton",[],Arroyo Valle Near Livermore,Alameda,,October 1969-September 1970,Daily (from the table provided),"{'Flow': 'cubic feet per second (cfs)', 'Volume': 'acre-feet'}",Stream Discharge,"['stream discharge', 'monthly discharge', 'maximum discharge', 'minimum daily', 'average discharge']",,,,,,
210,58,34.55,-119.3,,,California,[],Santa Clara River,Los Angeles- Ventura County Line,Ventura,04/01/1969-09/30/1969,Daily,"{'Discharge': 'CFS (Cubic Feet per Second)', 'Concentration': 'MG/L (Milligrams per Liter)', 'Sediment_Discharge': 'TONS/DAY'}",Stream Discharge,"['Suspended-Sediment', 'Discharge', 'Water Year']",,,,,,
199,609,38.926944,-123.629167,38.926944,-123.629167,"3.5 miles northeast of Point Arena, Mendocino County",['[TRS]'],Garcia River,Mendocino County,Mendocino County,10/1965-09/1966,Daily,°F,Stream Discharge,"['water temperatures', 'Garcia River']",,,,,,
56502,346,,,39.874722,-123.719444,"NE&SE4 sec.: 3, T.23 N., R.17 W., near Standish-Hickey State Park","['T.23 N., R.17 W., Sec.3']",EEL RIVER BASIN,Mendocino County,,10/01/1965-Current,Daily,"{'Discharge': 'cubic feet per second (ft³/s)', 'Gage_Height': 'feet (ft)', 'Floodmarks': 'feet (ft)'}",Stream Discharge,"['water-stage recorder', 'discharge records', 'stream discharge']",,,,,,
3117,204,39.5167,-122.2083,39.5167,-122.2083,"Near Orland, California",[],South Diversion Canal Near Orland,Tehama County,Tehama County,10/01/1966-09/30/1967,Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet per Second']",,,,,,
3117,204,39.5167,-122.2083,39.5167,-122.2083,"Near Orland, California",[],South Diversion Canal Near Orland,Tehama County,Tehama County,10/01/1967-09/30/1968,Daily,Cubic Feet per Second (cfs),Stream Discharge,"['Discharge', 'Cubic Feet per Second']",,,,,,
56404,368,,,40.909722,-124.059722,"NW1s sec.15, T. N., R.1 E., on right bank 100 ft (30 m) upstream from bridge on U.S. Highway 299, 1.0 mi (1.6 km) downstream from Warren Creek, and 2.8 mi (4.5 km) northeast of Arcata","['NW1s sec.15', 'T. N.', 'R.1 E.']",MAD RIVER NEAR ARCATA,Humboldt County,,"10/1910-09/1913, 08/1950-Present",Monthly,"Cubic feet per second (ft3/s), cubic meters per second (m³/s)",Stream Discharge,"['Discharge', 'Gage', 'Watershed', 'Reservoir']",,,,,,
3090,470,,,38.958333,-120.484722,"Near Rubicon River, Southeast of Section 23, Township 13 North, Range 13 East, on the right bank 1.3 miles downstream from South Fork and 20 miles east of Georgetown.","['SE1 sec.23, T.13 N., R.13 E.']",Rubicon River near Georgetown,Calaveras County,,10/01/1960-09/30/1961,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Volume': 'acre-feet'}",Stream Discharge,"['stream discharge', 'water-stage recorder', 'flow regulated', 'diversion dams']",,,,,,
51831,120,,,34.586111,-119.986111,"Highway 150, California",[],Hilton Canyon Creek,,Imperial County,09/08/1953-06/07/1955,Variable (specific dates and times),"{'Discharge': ['cubic feet per second', 'gallons per minute'], 'Temperature': '°F'}",Stream Discharge,"['stream channel', 'diversions', 'no flow', 'channel dry']",,,,,,
56412,107,,,35.173889,-118.478611,"on right bank 1.3 miles downstream from Brite Creek, and 3.2 miles northwest of Tehachapi","['NE1SW1 sec.6', 'T.32 S., R.33 E.']",Tehachapi Creek,Kern County,,09/1962-Current Year,daily,"{'Discharge': 'cfs (cubic feet per second)', 'Runoff': 'acre-feet', 'Gage Height': 'ft'}",Stream Discharge,"['Discharge', 'Gage', 'Cfs-days', 'Maximum', 'Minimum', 'Mean']",,,,,,
2913,349,,,38.95,-118.8,"Sec. 36, T. 13 N., R. 28 E., Schurz, Nevada","['T. 13 N., R. 28 E., Sec. 36']",Walker River,"Nye County, Nevada",,"{'Monthly and Yearly Runoff': '1902-1934', 'Yearly Discharge': '1902-1934'}",Monthly and Yearly,"{'Runoff': 'acre-feet', 'Discharge': 'cubic feet per second'}",Stream Discharge,"['runoff', 'discharge', 'acre-feet', 'cubic feet per second', 'stream', 'Schurz', 'Walker Lake', 'Nevada']",,,,,,
3146,451,40.6,-122.0,,,"At gaging station, 0.4 mile upstream from Middle Creek, 0.8 mile downstream from Keswick Dam, 1.6 miles downstream from Keswick, Shasta County",[],SACRAMENTO RIVER AT KESWICK,Shasta County,,09/05/1964-09/14/1965,Monthly,"{'pH': None, 'Specific_conductance': 'micro mhos at 25°C', 'Sodium_adoption_ratio': None, 'Hardness_CaCO3_as_Non_carbonate': 'mg/L', 'Hardness_CaCO3_as_Calcium_Magnesium': 'mg/L as CaCO3', 'Dissolved_solids_180°C_Tons_per_day': 'tons/day', 'Dissolved_solids_180°C_Tons_per_acre-foot': None, 'Dissolved_solids_180°C_Parts_per_million': 'ppm', 'Boron_B': 'mg/L', 'Nitrate_NO3': 'mg/L', 'Fluoride_F': 'mg/L', 'Chloride_Cl': 'mg/L', 'Sulfate_SO4': 'mg/L', 'Carbonate_CO2': 'mg/L', 'Bicarbonate_HCO3': 'mg/L', 'Potassium_K': 'mg/L', 'Sodium_Na': 'mg/L', 'Magnesium_Mg': 'mg/L', 'Calcium_Ca': 'mg/L', 'Iron_Fe': 'mg/L', 'Silica_SiO2': 'mg/L', 'Mean_discharge_cfs': 'cubic feet per second (cfs)'}",Stream Discharge,"['pH', 'Specific conductance', 'Sodium adsorption ratio', 'Hardness', 'Dissolved solids', 'Boron', 'Nitrate', 'Fluoride', 'Chloride', 'Sulfate', 'Carbonate', 'Bicarbonate', 'Potassium', 'Sodium', 'Magnesium', 'Calcium', 'Iron', 'Silica', 'Mean discharge']",,,,,,
1276,57,,,39.5513,-107.3297,"Glenwood Springs, Colorado",[],Roaring Fork at Glenwood Springs,Garfield County,,10/01/1907-09/30/1938,Monthly,"{'Discharge': 'second-feet', 'Runoff_second-foot-days': 'Second-foot-days', 'Runoff_acre-feet': 'Acre-feet'}",Stream Discharge,"['Discharge', 'Runoff', 'Second-foot-days', 'Acre-feet']",,,,,,
24284,224,36.3,-118.9,,,Above diversion site 110a,[],Hot Springs Creek,Tulare County,Tulare County,11/04/1959-03/03/1960,"Variable, specific dates provided in data","{'Discharge': 'gpm', 'Temperature': '°F'}",Stream Discharge,"['Discharge', 'Temp.', 'gpm', '°F']",,,,,,
1532,187,,,37.8833,-120.15,"Near Railroad Flat, Cal.",[],San Joaquin River Basin,Tuolumne County,,10/01/1916-09/30/1917,Daily,"{'Gage Height': 'Feet', 'Discharge': 'Second-Feet'}",Stream Discharge,"['Stage', 'Discharge', 'Rating curve', 'Gage height']",,,,,,
1532,187,,,38.0,-120.8,"Near Railroad Flat, Cal.",[],South Fork of Mokelumne River,Calaveras County,,10/01/1916-09/30/1917,Daily,"{'Gage Height': 'Feet', 'Discharge': 'Second-Feet'}",Stream Discharge,"['Stage', 'Discharge', 'Rating curve', 'Gage height']",,,,,,
695,267,,,36.847222,-118.896389,"NEASW1 sec. 35, T. 12 S., R. 28 E., on right bank 0.9 mile downstream from Ten Mile Creek, 1.2 miles downstream from confluence of South and Middle Forks, and 3.8 miles north of Hume.","['T. 12 S.', 'R. 28 E.', 'sec. 35']",Kings River near Hume,Tulare County,,"08/1921-12/1936, 10/1951-09/1957",Daily,cubic feet per second (cfs),Stream Discharge,"['Kings River', 'Hume', 'stream discharge', 'water-stage recorder']",,,,,,
70038677,433,,,42.216667,-121.802778,"Orleans, California",['T.33 N. R.8 W. sec.17'],"KLAMATH RIVER AT ORLEANS, CALIF.",Klamath County,,10/1969-09/1970,Daily,"{'Temperature': 'Celsius (°C)', 'Discharge': 'Cubic feet per second (CFS)', 'Concentration': 'Milligrams per liter (mg/L)', 'Suspended Sediment Discharge': 'Tons per day'}",Stream Discharge,"['SUSPENDED SEDIMENT', 'PARTICLE SIZE', 'DISCHARGE']",,,,,,
70038677,433,,,40.719444,-122.8025,"Lewiston, California","['SW1NW1 sec.17, T.33 N. R.8 W.']","TRINITY RIVER AT LEWISTON, CALIF.",Trinity County,,10/1969-09/1970,Daily (for chemical analyses and water temperatures),"{'Temperature': 'Celsius (°C)', 'Discharge': 'Cubic feet per second (CFS)', 'Dissolved Oxygen': 'Milligrams per liter (mg/L)'}",Stream Discharge,"['CHEMICAL ANALYSES', 'WATER TEMPERATURES']",,,,,,
3144,295,,,33.102777,-110.975833,"Kelvin, Ariz.","['T.4 S., R.13 E., sec.12']",Gila River at Kelvin,"Pinal County, Arizona",,01/1911-09/1965,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet', 'Cumulative Discharge': 'acre-feet'}",Stream Discharge,"['stream discharge', 'gage height', 'discharge in cubic feet per second', 'minimum daily discharge']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],G. B. Call Well,Santa Clara County,Santa Clara County,02/18/1915-05/17/1915,1-2 months,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],John Bilbersack Well,Santa Clara County,Santa Clara County,09/16/1914-11/16/1914,1-2 months,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],Mary Smith Well,Santa Clara County,Santa Clara County,09/27/1914,,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],Joseph Fisch Well,Santa Clara County,Santa Clara County,09/28/1914-12/02/1914,1-2 months,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],Santa Clara County Well,Santa Clara County,Santa Clara County,09/27/1914,,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],A. O. Bechis Well,Santa Clara County,Santa Clara County,09/28/1914-05/17/1915,1-2 months,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.0044,-121.5788,,,"Near Gilroy, Santa Clara Valley",[],T. Neary Well,Santa Clara County,Santa Clara County,09/28/1914-04/19/1915,1-2 months,Feet,Groundwater,"['depth of water surface', 'bench mark']",,,,,,
1147,169,37.1074,-121.6397,,,"Near Morgan Hill, Santa Clara Valley",[],Adolph Petrick Well,Santa Clara County,Santa Clara County,09/27/1914-03/10/1915,1-2 months,Feet,Groundwater,"['altitude of bench mark', 'depth to water in well']",,,,,,
1147,169,37.1074,-121.6397,,,"Near Morgan Hill, Santa Clara Valley",[],L. H. Meigs Well,Santa Clara County,Santa Clara County,02/01/1916-03/13/1916,1-2 months,Feet,Groundwater,"['altitude of bench mark', 'depth to water in well']",,,,,,
1147,169,37.1074,-121.6397,,,"Near Morgan Hill, Santa Clara Valley",[],P. Dethlefson Well,Santa Clara County,Santa Clara County,02/01/1916-03/15/1916,1-2 months,Feet,Groundwater,"['altitude of bench mark', 'depth to water in well']",,,,,,
1147,169,37.1074,-121.6397,,,"Near Morgan Hill, Santa Clara Valley",[],Road Well,Santa Clara County,Santa Clara County,02/01/1916-03/15/1916,1-2 months,Feet,Groundwater,"['altitude of bench mark', 'depth to water in well']",,,,,,
1147,169,37.1074,-121.6397,,,"Near Morgan Hill, Santa Clara Valley",[],W. B. Jackson Well,Santa Clara County,Santa Clara County,09/29/1914-03/30/1918,1-2 months,Feet,Groundwater,"['altitude of bench mark', 'depth to water in well']",,,,,,
70038678,284,,,39.7513,-121.8248,"Near Chico, California",[],BUTTE CREEK NEAR CHICO,Butte County,,10/01/1970-09/30/1971,Daily,Celsius (°C),Stream Discharge,"['Temperature', 'Water Year', 'C']",,,,,,
3117,360,39.456389,-121.636111,39.456389,-121.636111,"NW&SE% sec.33, T.19 N. R. 3 E.","['T.19 N. R. 3 E., sec.33']",THERMALITO AFTERBAY RELEASE TO FEATHER RIVER NEAR OROVILLE,Butte County,Butte County,11/01/1967-09/30/1970,Daily,"{'Discharge': 'cubic feet per second (cfs)', 'Gage Height': 'feet'}",Stream Discharge,"['Thermalito Afterbay', 'Feather River', 'Discharge', 'Gage Height']",,,,,,
1585,450,,,38.6433,-121.6995,"NE 1/4 sec. 28, T. 8 N., R. 2 W.","['T. 8 N., R. 2 W.']",Putah Creek,Yolo County,,06/01/1930-09/30/1931,Daily,second-feet,Stream Discharge,"['discharge', 'water-stage recorder', 'stream']",,,,,,
56502,222,,,38.577222,-122.580278,"Carne Humana Grant, on right bank at downstream end of Pine from Street Cyrus Creek in Calistoga",[],NAPA RIVER AT CALISTOGA,Napa County,Napa County,10/01/1975-12/31/2023,Daily,"{'Discharge': 'cubic feet per second (ft3/s)', 'Gage_Height': 'feet (ft)'}",Stream Discharge,"['water-stage recorder', 'flow', 'discharge']",,,,,,
70038413,281,,,34.543611,-119.863889,"Near Santa Ynez, California, on left bank 0.3 mile downstream from Los Laureles Canyon Creek",[],Santa Ynez River Below Los Laureles Canyon,"San Marcos Grant, Santa Barbara County",,10/01/1968-09/30/1969,Daily,cubic feet per second (cfs),Stream Discharge,"['stream discharge', 'Santa Ynez River', 'discharge measurements']",,,,,,
14841,13,39.0968,-120.0329,39.0968,-120.0329,"Near Nixon, NV, but relevant to California watersheds",[],Lake Tahoe,"Placer County, California","Placer County, California",01/01/1900-12/31/1973,Annual,Not specified in document,Reservoir,"['Lake Tahoe', 'storage']",,,,,,
14841,13,39.2641,-120.665,39.2641,-120.665,"Near Nixon, NV, but relevant to California watersheds",[],Boca Reservoir,"Placer County, California","Placer County, California",01/01/1938-12/31/1973,Annual,Not specified in document,Reservoir,"['Boca Reservoir', 'storage']",,,,,,
14841,13,39.2614,-120.6566,39.2614,-120.6566,"Near Nixon, NV, but relevant to California watersheds",[],Prosser Creek Reservoir,"Placer County, California","Placer County, California",01/01/1963-12/31/1973,Annual,Not specified in document,Reservoir,"['Prosser Creek Reservoir', 'storage']",,,,,,
14841,13,39.3165,-119.8196,39.3165,-119.8196,"Near Nixon, NV, but relevant to California watersheds",[],Washoe Lake,"Placer County, California","Placer County, California",01/01/1963-12/31/1973,Annual,Not specified in document,Reservoir,"['Washoe Lake', 'storage']",,,,,,
14841,13,39.3063,-120.0102,39.3063,-120.0102,"Near Nixon, NV, but relevant to California watersheds",[],Stampede Reservoir,"Placer County, California","Placer County, California",01/01/1969-12/31/1973,Annual,Not specified in document,Reservoir,"['Stampede Reservoir', 'storage']",,,,,,
14841,13,39.3051,-120.0455,39.3051,-120.0455,"Near Nixon, NV, but relevant to California watersheds",[],Martis Creek Reservoir,"Placer County, California","Placer County, California",01/01/1971-12/31/1973,Annual,Not specified in document,Reservoir,"['Martis Creek Reservoir', 'storage']",,,,,,
14841,13,39.305,-120.0,39.305,-120.0,"Near Nixon, NV, but relevant to California watersheds",[],Truckee Canal Diversions,"Placer County, California","Placer County, California",01/01/1905-12/31/1973,Annual,Not specified in document,Irrigation,"['Truckee Canal', 'diversions']",,,,,,
2057,105,36.7783,-119.4179,,,,['16G1'],Nelson,,California County,12/01/1950-28/03/1952,Daily,{'Reported gpm.': 'gallons per minute'},Groundwater,"['pump', 'Reported gpm.']",,,,,,
2057,105,36.7783,-119.4179,,,,['16H1'],Gruenhagen A.,,California County,28/03/1918-06/00/1918,Daily,{'Reported gpm.': 'gallons per minute'},Groundwater,"['pump', 'Reported gpm.']",,,,,,
2057,105,36.7783,-119.4179,,,,['16H2'],Drive-in Theater.,,California County,06/00/1918-06/00/1949,Daily,{'Reported gpm.': 'gallons per minute'},Groundwater,"['pump', 'Reported gpm.']",,,,,,
2057,105,36.7783,-119.4179,,,,['16J'],Sheveland A.,,California County,20/12/1949-28/03/1952,Daily,{'Reported gpm.': 'gallons per minute'},Groundwater,"['pump', 'Reported gpm.']",,,,,,
2057,105,36.7783,-119.4179,,,,['16K1'],Horseman's Assoc.,,California County,20/12/1949-28/03/1952,Daily,{'Reported gpm.': 'gallons per minute'},Groundwater,"['pump', 'Reported gpm.']",,,,,,
969,70,32.85,-115.56,,,California,"['15', 'E', '1']",Well 15E1,,Imperial County,07/01/1953-09/21/1953,Monthly,Feet,Groundwater,"['level', 'Water']",,,,,,
969,70,32.85,-115.56,,,California,"['15', 'E', '2']",Well 15E2,,Imperial County,07/01/1953-09/25/1953,Monthly,Feet,Groundwater,"['level', 'Water']",,,,,,
969,70,32.85,-115.56,,,California,"['15', 'K', '1']",Well 15K1,,Imperial County,07/01/1953-07/07/1953,Monthly,Feet,Groundwater,"['level', 'Water']",,,,,,
969,70,32.85,-115.56,,,California,"['15', 'M', '1']",Well 15M1,,Imperial County,07/01/1953-09/27/1953,Monthly,Feet,Groundwater,"['level', 'Water']",,,,,,
969,70,32.85,-115.56,,,California,"['15', 'M', '2']",Well 15M2,,Imperial County,07/01/1953-09/21/1953,Monthly,Feet,Groundwater,"['level', 'Water']",,,,,,
57548,378,,,38.498611,-121.451667,"SW&SE'4 sec. 32, T.8 N., R.5 E.","[""T.8 N., R.5 E., SW&SE'4 sec. 32""]",MORRISON CREEK NEAR SACRAMENTO,Sacramento County,,07/1959-Current Year,Daily,"{'Latitude_Longitude': 'decimal degrees', 'Discharge': 'cubic feet per second (ft³/s) and cubic meters per second (m³/s)', 'Gage_Height': 'feet and meters'}",Stream Discharge,"['stream discharge', 'water-stage recorder', 'gage height']",,,,,,
2447,393,,,37.2166667,-113.7833333,"near center of aec. 17, T.41 S., R.17 W.","['T.41 S., R.17 W.']",Santa Clara River above Winsor Dam,"Washington County, Utah",,"Aug. 2, 1945-Mar. 10, 1958",Varies (specific dates provided),"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['gage height', 'discharge', 'current-meter measurements']",,,,,,
2447,393,,,37.075,-113.5875,"in NE 1 sec 1, T.43 S., R.16 W.","['T.43 S., R.16 W.']",Santa Clara River at St. George,"Washington County, Utah",,,Varies (specific dates provided),"{'Gage_Height': 'feet', 'Discharge': 'cfs'}",Stream Discharge,"['current-meter measurements', 'discharges']",,,,,,
70038678,128,,,34.3955556,-119.0755556,"in sec. 27, T.4 N. R.21 W., Ventura County, at gaging station on right bank, 15 ft upstream from Santa Paula Water Works diversion dam, 200 ft upstream from Mud Creek, and 3 miles north of Santa Paula","['T.4 N. R.21 W., sec. 27']",SANTA PAULA CREEK,Ventura County,,"{'Chemical_Analyses_Start': '10/01/1966', 'Chemical_Analyses_End': '09/30/1971', 'Specific_Conductance_Start': '04/01/1969', 'Specific_Conductance_End': '09/30/1971', 'Water_Temperatures_Start': '04/01/1969', 'Water_Temperatures_End': '09/30/1970'}","{'Chemical_Analyses': 'October 1966 to September 1971', 'Specific_Conductance': 'April 1969 to September 1971', 'Water_Temperatures': 'April 1969 to September 1970'}","{'Discharge': 'CFS (cubic feet per second)', 'Temperature': 'degrees Celsius', 'Dissolved Components': 'mg/L (milligrams per liter)', 'Suspended Solids': 'tons/day', 'Specific Conductance': 'micro-mhos/cm', 'pH': None, 'Turbidity': 'mg/L', 'Alkalinity': 'as CaCO3 mg/L'}",Stream Discharge,"['Chemical analyses', 'Specific conductance', 'Water temperatures']",,,,,,
3144,139,,,37.506944,-114.219722,Right bank at downstream end of stilling basin at outlet of conduit through flood-control dam,"['E sec 24', 'T.5 S. R.69 E.']","Mathews-Canyon Wash near Caliente, Nev.",Clark County,,06/1958-09/1965,"Varies, daily measurements during events","{'Discharge': 'cfs (cubic feet per second)', 'Gage height': 'feet', 'Runoff': 'acre-feet'}",Stream Discharge,"['stream discharge', 'flood-control dam', 'water-stage recorder']",,,,,,
2835,35,34.0522,-118.2437,,,,[],Santa Ana and San Gabriel Rivers,,Southern California,1895-1904 and 1922-1936 and 1944-1951,1 year,acre-feet,Stream Discharge,"['Runoff', 'Santa Ana River', 'San Gabriel River']",,,,,,
2835,35,34.0522,-118.2437,,,,[],Precipitation in Los Angeles and Cuyamaca,,Southern California,1893-1904 and 1917-1934 and 1944-1951,1 year,not specified,Precipitation,"['Precipitation', 'Los Angeles', 'Cuyamaca']",,,,,,
2835,35,34.0522,-118.2437,,,,[],Annual Tree Growth,,Southern California,1893-1904 and 1923-1937,1 year,not specified,Not Water Related,['Annual tree growth'],,,,,,
724,432,,,38.144444,-120.663889,"right bank 0.1 mile downstream from San Antonio Creek, 1.6 miles south of the Calaveras Cement Plant, and 3.7 miles south of San Andreas","['NWt sec.4, T.3 N., R.12 E.']",South Fork Calaveras River near San Andreas,Calaveras County,,04/1950-09/1960,Daily,"{'Latitude_Longitude': 'degrees minutes', 'Discharge': 'cubic feet per second (cfs)', 'Area': 'square miles and acre-feet'}",Stream Discharge,"['stream', 'discharge', 'gage height', 'cubic feet per second']",,,,,,
3089,304,,,37.9083,-122.5294,"Ross, Calif.",[],Corte Madera Creek,Marin County,,10/01/1963-09/30/1965,Daily,Cubic feet per second,Stream Discharge,"['DISCHARGE', 'WATER YEAR', 'CUBIC FEET PER SECOND']",,,,,,
2060,246,,,,,"About 2.5 miles west of Lompoc, 40 feet south of State Highway 150 (Ocean Avenue) and 15 feet east of Legge Avenue.",[],"City of Santa Barbara, well 100-E. A. Legge",Santa Barbara County,,01/06/1934-12/10/1942,Daily to monthly,feet above sea-level datum of 1929,Groundwater,"['ground-water basins', 'well', 'pump operating', 'shut down prior to measurement']",,,,,,
56363,307,,,39.024167,-120.7175,"on right bank 1.0 mi (1.6 km) downstream from E1 Dorado Canyon, and 4.8 mi (7.7 km) east of Foresthill","['NE4NW sec. 35', 'T.14 N., R.11 E.']","NORTH FORK OF MIDDLE FORK AMERICAN RIVER NEAR FORESTHILL, CALIF.",Placer County,,07/01/1965-Current Year,daily,"{'Discharge': 'cubic feet per second (ft³/s)', 'Cumulative Water Volume': 'acre-feet'}",Stream Discharge,"['stream discharge', 'gauge height', 'gage well']",,,,,,
24284,188,37.0,-119.5,,,"Madera County, California",[],Site 89-Spring,,Madera County,06/06/1958-05/04/1960,Varying intervals (as specific dates are given),"{'Discharge': 'gpm (gallons per minute)', 'Temperature': '°F'}",Springs,"['Discharge', 'Flow', 'No flow']",,,,,,
1139,31,33.2333,-115.9444,33.2333,-115.9444,"Near Salton, California",[],Salton Sea near Salton,Imperial County,Imperial County,11/01/1904-12/31/1906,Daily,Feet,Stream Discharge,"['gage height', 'Salton Sea', 'Salt Creek']",,,,,,
70038405,226,,,38.805,-121.7228,"in NW1 sec.14, T.11 N., R.2E.","['NW1 sec.14, T.11 N., R.2E.']","SACRAMENTO RIVER ABOVE COLUSA TROUGH, AT KNIGHTS LANDING",Yolo County,Yolo County,10/11/1967-09/29/1968,Variable intervals (based on specific dates of recording),"{'Discharge': 'CFS', 'Chemicals': 'milligrams per liter', 'Sodium Adsorption Ratio': '', 'Alkalinity': 'as CaCO3', 'Specific Conductance': 'micro-mhos', 'Temperature': 'degrees Celsius'}",Stream Discharge,"['Chemical Analyses', 'Mean Discharge (CFS)', 'Calcium (CA)', 'Magnesium (MG)', 'Sodium (NA)', 'Potassium (K)', 'Bicarbonate (HCO3)', 'Carbonate (CO3)', 'Sulfate ($04)', 'Chloride (Cl)', 'Nitrate (NO3)', 'Boron (8)']",,,,,,
199,53,,,39.65,-106.9517,"Lat 39°39' long 106°57'06"" at bridge at Gypsum, Eagle County",[],Eagle River,Eagle County,,10/01/1965-05/06/1966,Daily,"{'pH': '', 'Specific_Conductance': 'micromhos at 25°C', 'Sodium_Absorption_Ratio': '', 'Hardness_CaCO3_Non-Carbonate': 'mg/L', 'Hardness_CaCO3_Calcium_Magnesium': 'mg/L', 'Dissolved_Solids_Tons_Per_Day': 'tons/day', 'Dissolved_Solids_Tons_Per_Acre_Foot': 'tons/acre-foot', 'Dissolved_Solids_Parts_Per_Million': 'ppm', 'Chloride': 'mg/L', 'Sulfate': 'mg/L', 'Carbonate_CO2': '', 'Bicarbonate_HCO3': 'mg/L', 'Mean_Discharge_cfs': 'cubic feet per second'}",Stream Discharge,"['Chemical analyses', 'Water temperatures', 'Dissolved solids', 'Hardness', 'Specific conductance', 'Mean discharge']",,,,,,
3153,150,,,,,"National Forest, Teton County","['N., 48 T., R. 8, sec. NE1/4']",Hot Springs,,Teton County,,,,Springs,"['Hot Springs', 'thermal springs', 'sulphur springs']",,,,,,
3153,150,,,,,"Canyon near the mouth of Big Horn River, W. 94 R., N., 53 T.",[],Five Springs of Black Canyon of Big Horn River,Big Horn County,,,,,Springs,"['springs', 'Black Canyon', 'Big Horn River']",,,,,,
3153,150,,,,,"Near Auburn, N., 113 R. Lincoln, W., 39 T.","['2, sec SW1/4']",Hot Springs of Granite Formation,,Sublette County,,,,Springs,"['Hot Springs', 'Granite Formation']",,,,,,
70107931,15,38.9247,-120.0039,38.9247,-120.0039,"Near Meyers, California",[],Grass Lake Creek near Meyers,Tahoe,Placer,1972-06-01-1972-09-30,Monthly,tons,Stream Discharge,"['suspended-sediment discharge', 'tons']",,,,,,
70107931,15,38.9398,-119.9721,38.9398,-119.9721,"South Lake Tahoe, California",[],Upper Truckee River at South Lake Tahoe,Tahoe,Placer,1972-06-01-1972-09-30,Monthly,tons,Stream Discharge,"['suspended-sediment discharge', 'tons']",,,,,,
70107931,15,38.9355,-120.0021,38.9355,-120.0021,"Near Camp Richardson, California",[],Eagle Creek near Camp Richardson,Tahoe,Placer,1972-06-01-1972-09-30,Monthly,tons,Stream Discharge,"['suspended-sediment discharge', 'tons']",,,,,,
70107931,15,38.9605,-120.0151,38.9605,-120.0151,"Meeks Bay, California",[],Meeks Creek at Meeks Bay,Tahoe,Placer,1972-06-01-1972-09-30,Monthly,tons,Stream Discharge,"['suspended-sediment discharge', 'tons']",,,,,,
70107931,15,38.9487,-120.0218,38.9487,-120.0218,"Homewood, California",[],Quail Lake Creek at Homewood,Tahoe,Placer,1972-06-01-1972-09-30,Monthly,tons,Stream Discharge,"['suspended-sediment discharge', 'tons']",,,,,,
